cell,patient,predict
IgD- Memory B cells,SUB118155,85.99332762
IgD- Memory B cells,SUB118156,136.4396133
IgD- Memory B cells,SUB118157,24.84785715
IgD- Memory B cells,SUB118158,34.9056361
IgD- Memory B cells,SUB118161,47.50524008
IgD- Memory B cells,SUB118164,36.24957466
IgD- Memory B cells,SUB118167,55.58920905
IgD- Memory B cells,SUB118168,58.28367913
IgD- Memory B cells,SUB118169,0
IgD- Memory B cells,SUB118170,108.6827679
IgD- Memory B cells,SUB118171,164.6037824
IgD- Memory B cells,SUB118174,78.01858449
IgD- Memory B cells,SUB118176,37.8302803
IgD- Memory B cells,SUB118183,58.84041476
Memory B cells,SUB118148,37.74319081
Memory B cells,SUB118151,23.55890219
Memory B cells,SUB118153,50.51704677
Memory B cells,SUB118155,27.55798189
Memory B cells,SUB118156,33.23999702
Memory B cells,SUB118157,18.17367382
Memory B cells,SUB118158,25.75731269
Memory B cells,SUB118161,24.54692187
Memory B cells,SUB118164,18.63097167
Memory B cells,SUB118167,27.94063157
Memory B cells,SUB118168,38.82671665
Memory B cells,SUB118169,0
Memory B cells,SUB118170,71.12743719
Memory B cells,SUB118171,180.746769
Memory B cells,SUB118174,87.90933648
Memory B cells,SUB118176,6.917247176
Memory B cells,SUB118183,35.2595764
Monocytes,SUB118148,16278.53876
Monocytes,SUB118151,23248.61703
Monocytes,SUB118153,22616.10589
Monocytes,SUB118155,14459.06823
Monocytes,SUB118156,17069.28809
Monocytes,SUB118157,18538.30714
Monocytes,SUB118158,23912.84906
Monocytes,SUB118161,16382.94064
Monocytes,SUB118164,17038.44334
Monocytes,SUB118167,17027.93839
Monocytes,SUB118168,22200.33872
Monocytes,SUB118169,248.8648795
Monocytes,SUB118170,19472.82489
Monocytes,SUB118171,18556.84566
Monocytes,SUB118174,20814.18355
Monocytes,SUB118176,22118.64826
Monocytes,SUB118183,8375.615866
mDCs,SUB118148,202.1289133
mDCs,SUB118151,222.2487858
mDCs,SUB118153,133.2307455
mDCs,SUB118155,107.530848
mDCs,SUB118156,61.12093516
mDCs,SUB118157,111.8526129
mDCs,SUB118158,157.2625766
mDCs,SUB118161,197.7987293
mDCs,SUB118164,98.05846108
mDCs,SUB118167,187.4283329
mDCs,SUB118168,181.0207349
