"","ES740463","ES740496","ES740562","ES740637","ES740640","ES740691","ES740706","ES740712","ES740724","ES740772","ES740790","ES740871"
"ABHD16B",19.9719187106073,12.942117907564,26.4812295976976,23.5186933845279,18.4599635824105,17.0271507319438,19.0814473745284,18.6749164455845,24.3012915887133,19.2474467377191,21.6790366625704,25.4933811889969
"ABHD2",99.4073941127089,72.5351700912461,104.537385995954,99.3840014865615,89.2410396092766,86.3496797557828,77.1298468477739,101.45176376356,94.1838972077217,94.0375882463638,50.9904986635057,82.5691214418605
"ABHD3",28.9900589323288,32.0429047768207,26.9977033734933,23.5340725470023,16.6176477496704,20.2264324246696,30.4054597071953,20.0350529658693,30.3999118936634,23.1192864237302,26.2926801292306,29.918822272704
"ABHD4",24.951120746359,30.4989691799873,21.4616127432732,24.0813954319022,21.9244817368119,21.0710289451148,27.2975567312283,28.1708556264279,30.7438460348549,21.699788185861,15.2019414504231,28.1066941443639
"ABHD5",18.7366011187649,10.0212921480575,24.4705282244405,18.3873926753345,20.2361749609329,10.3165441069071,11.5560068688698,27.7646782803329,14.9274363598438,24.7949535901329,10.6539882271255,19.3311601155958
"ABHD6",14.2626858570251,16.2634062569511,12.9921458401549,9.91385918285576,13.2946115365,8.97397368544094,10.7555286136208,13.2784248932049,11.1388337511267,13.7463947194143,7.7306488225997,12.9767054535896
"ABHD8",33.9822804022977,26.4369071192207,40.8741393200128,32.937520392153,30.4681312189589,39.0410886329875,31.1429931666139,38.5432675423909,38.844240443657,35.9481782453653,29.6399687688885,37.0228307203824
"ABI1",138.862354274684,142.769955288599,153.412906672173,132.200582358946,173.05810391148,124.668656336088,148.809639273927,137.706272547712,135.558654025228,141.088573002244,168.432363326419,138.248373636912
"ABI2",4.72942119765547,8.30286115861201,4.8113174138394,5.99776779470015,6.07968817413303,6.70762304525774,8.24443070341086,3.75588195413732,7.29888843818032,5.69088721491076,9.26209547284262,5.47691171681609
"ABI3",239.61501510731,146.074222238498,142.696873660546,112.309939080489,91.9876273514674,146.453244278813,137.047381877194,107.983022045594,129.879334097411,115.734231763672,49.2851271185692,174.843979309891
"ABI3BP",0.0772799958827665,0.0462568625293121,0.062010405340724,0.0888588123792228,0.0463511993758509,0.0198675089489571,0.0466570424571268,0.0479256485307778,0.0384595735525835,0.0516469883836768,0.056172660969679,0.0264056191785907
"ABL1",50.1013117633626,43.0207994516824,61.3953189788147,58.9719769687954,70.9894574584437,53.9390038162168,52.1635839929232,56.7452622112091,43.6439985972808,57.0498088564539,65.6453408806146,44.3774263805461
"ABL2",11.2878383028081,9.26354333832798,12.4028172303809,18.6182447309895,18.5765741950098,9.74933865889339,14.1234102115249,11.6231806282038,8.30945714943934,15.8289510237013,23.3433488234798,8.83243041606424
"ABLIM1",74.9163058951201,127.957052428015,75.8824250055991,95.1409474298895,105.886789239242,115.339465237282,138.070943957366,80.4205736365042,107.528456707049,127.324779967379,260.007042603832,96.5537673581897
"ABLIM2",0.935611839871371,2.26021796412507,0.883230917717117,1.46547791321374,1.38790495309169,1.4785615396531,2.41654120647227,0.774508805226723,1.24497743773851,1.2590453061295,2.87529594933468,1.19294964585107
"ABLIM3",7.91429732451047,18.7270002731042,2.17887184288298,2.5937322559765,7.9711873683721,4.58851737200429,2.45547135083916,12.23943759928,6.48653578257287,3.09070095182022,0.974427862527608,6.44458374109344
"ABO",0.242319379401246,1.72483748813175,0.860528409253814,0.21402277810614,0.399949950705196,0.0269390783685844,2.31488660426933,0.00624847412228927,2.25780320032225,0.0202009704804932,0.103142210097612,2.25455453140063
"ABR",66.4243282119671,46.2382388415942,72.2673947308157,66.2161489486624,69.979657667432,52.4639770706016,47.744122259002,62.7556975082748,54.8495730144921,68.1936561363287,52.7202769907937,59.9252800065366
"ABRA",0.0924160996515263,0.0819507523354779,0.123592997427463,0.167783289009135,0.369530476941242,0.0791959016854216,0.270522750165359,0.220432281536316,0.0557482271684507,0.285058139002516,0.205255936618751,0.223673524184081
"ABT1",58.3891700431345,72.8342950194794,60.3000596462555,61.3902122225899,82.4573819714108,91.8963086713039,63.2874323781346,52.6416556082837,70.6225190641064,54.0468488073913,83.7269608347498,69.712265720932
"ABTB1",70.4410226048833,84.12586909907,90.1261321743464,69.2674840245568,67.1744022715373,84.0671843402913,68.1169472401952,72.8418850378828,82.1220431950843,81.2968676527549,85.5697796616642,94.2701594032606
"ABTB2",2.34429706159845,1.05453127962557,2.61642848583354,2.60010148353545,2.76100755671191,1.49027078983443,1.41300703058764,3.24519199942463,2.76145302997613,2.59439569918527,2.0654591108157,2.94191816937293
"ACAA1",69.1442665576985,49.0784038457329,59.2099899978319,56.4281693035984,51.6551046317593,67.7336401100022,46.1181424547751,51.9931196649912,61.2793715494162,44.1110421174634,50.1375346214885,65.4434862819189
"ACAA2",42.8931857635674,67.4783494129744,35.1098314673742,35.9496158078779,37.7119575965741,42.530575082122,42.1912807079925,38.3161843442957,35.5195580301103,37.8518969088889,28.8173190988016,42.8487551463177
"ACACA",9.31966899449275,8.36684015897156,10.0175674083292,10.6216021548707,13.7688476642018,6.86039150850717,9.13252666738064,7.22281190696645,8.43876052548644,10.4228568631625,13.4608041738266,7.50469160999566
"ACACB",5.72897627719814,7.79926242198331,6.89315339581868,7.61718781192576,8.7541933265865,8.33627690735411,8.45241618779976,4.53123059837779,7.39074482967948,8.09435408892107,18.1853016340246,8.06890094895292
"ACAD10",12.7437394741768,10.5090694788083,14.5680472986023,14.5450871246394,13.1878656593543,10.6391742411811,11.6695979209071,11.3160369925441,13.1035477878564,12.8146938747353,21.4838264717874,12.3825602901397
"ACAD11",5.57944987242469,9.61871920909872,9.68780751273738,7.32432562321059,13.0972299209947,5.05287161612885,8.26175430883882,4.26183676768047,7.0084759385326,6.30854674243119,33.3469584071908,6.81793165888666
"ACAD8",11.1036366908376,13.3431384051864,12.8757964584035,13.7348564333794,12.2126069817366,11.4918113422648,11.4627462205433,11.0143953142748,13.3511915408468,10.1363567852158,16.6556580731266,11.734049399873
"ACAD9",23.2632915768754,18.946788561189,19.6952667892077,20.3729317337595,18.3131049969426,15.4846345430634,22.6846173812396,17.3221565704657,23.3116745499415,18.9090981099177,21.7929564623223,24.6619832800978
"ACADM",28.6902429038393,50.1473067678514,30.3334502890693,27.2326695567948,23.8400993202069,31.3729025946594,44.1591201957675,26.9668087557277,45.3401625320829,28.9695474105126,25.5707551686149,34.87146467797
"ACADS",30.4037987021443,32.4827465160716,28.1960796132828,25.2477515133799,22.251595901211,32.2685811081937,30.2869478910098,26.4948618812708,27.4813332424046,23.6207106220065,26.5905100092287,35.7629017299307
"ACADSB",18.1474888733902,32.4564022195948,17.4855839832537,22.162412287683,26.2457978517805,28.3810061504054,28.5103867816386,18.3010560255214,25.6931050423582,24.0387141704739,33.2946177402607,16.3621811411079
"ACADVL",121.923793331672,128.040620549336,162.428487799668,130.84673779867,149.812269255709,161.298529564562,122.292580386688,171.491119784801,155.991248371144,137.356624514295,133.194618901441,136.197407572233
"ACAN",0.0310932671724761,0.0516979045106987,0.023390263531833,0.131717722212778,0.059338368854626,0.0319744201197216,0.0255985312656473,0.040790272658122,0.0527524112224826,0.0759267005754364,0.113004118036492,0.0298805202730795
"ACAP1",87.982244218245,181.177441160701,96.9289242339473,116.176134133934,135.0785517524,130.351847577012,144.473066655671,73.0993610593917,130.920027001112,98.7543199982929,229.496602378825,128.458839985618
"ACAP2",82.2384018824772,70.1830866394234,90.1283917186663,86.1231803936615,83.9248199933294,73.7934136456207,63.9915549700674,75.683206828488,83.396486577296,82.2791699380108,75.7537582128007,82.4205086927619
"ACAP3",17.4460092177697,18.1899186864839,25.7763685996592,24.6595765107014,28.3225045807874,21.1216916004778,18.6372566184863,18.9318797913455,22.1999595252083,21.1332289115765,36.5510210450496,20.7580950106916
"ACAT1",16.1682194664326,23.3614101122224,14.9410698551776,12.9032181792934,12.5872924982837,14.3446461256223,17.0656976876178,12.3020818762789,19.7635681740255,12.4473120757999,11.8993249647592,18.0218587100221
"ACAT2",28.016786326983,33.2680305727592,26.8598399701013,23.5016131927429,25.3992277831818,29.091754702941,24.9845545187771,23.6939226393158,29.5105743799604,26.1286731404833,25.3730107420441,33.0084147959234
"ACBD3",79.3184285721592,84.7525478604699,77.8267842511323,75.0455522561793,91.4729877532663,78.3697046186775,83.2542337599575,65.4488195681116,90.7002764036951,72.9733745000407,92.6112040890076,86.2413812928469
"ACBD4",9.88578150721517,15.2414075324778,10.8620766279888,10.986250699399,9.56776645633327,13.5853857824249,15.2663918762709,8.56372408505403,14.4239900957028,10.1642552529922,19.6517932059652,13.5785704313339
"ACBD5",20.4326166451778,18.1411199416184,20.4978315557525,23.8903828357751,25.1452623469716,20.123996906017,23.4358395470115,18.1664758619652,19.8715014244404,16.6297852312557,20.3524043178488,16.8087410404781
"ACBD6",14.800342399983,20.1972440137412,15.5416219936003,18.3851353188204,18.9356866619515,23.3435613213908,18.1804333487353,14.2393267692291,20.2183391217356,15.5888323739255,25.5096078225354,17.3409509783768
"ACBD7",0.239249801128317,0.413705701510826,0.371955321572626,0.361969024512092,1.00448512894434,0.2583314031627,0.341414816039911,0.433703311286681,0.227308444025675,0.78716562242319,0.695615873801619,0.357650558974545
"ACCS",2.63620840192405,2.14448324639972,4.44334917176624,3.48079230079967,4.07068437702944,2.88268201031595,2.25604093979389,2.94475790588576,6.82752575368806,3.71102652763059,7.36385502152512,2.79161101061796
"ACCSL",0.136322409448475,0.271991342713866,0.0227889069975384,0.0549991284807661,0.222992218957628,0.0233642756552385,0.0997616033684253,0.303481058629323,0.0616753954024826,0.23360415247662,0.0550494083311137,0.155265606503786
"ACD",30.7317223217555,48.4751922028737,33.9794270009235,32.6082631511386,33.5420749101709,35.6087871758476,43.4575535040693,26.9850969428344,36.3581271796231,32.2604797758131,37.5170428666471,34.784807067868
"ACE",3.46857011143988,7.79738140924338,2.09555510079313,5.33364321740287,4.7392148128361,5.7622616170239,8.23284569784845,1.94978611556452,4.74449069399457,3.81654170182017,2.63547150370276,2.56872932149048
"ACE2",0,0.0174270852413188,0.00438040660603359,0,0.0047625344360238,0,0.00958791894825749,0.00416672159889505,0.00790335723370294,0,0.00529070551601922,0.0111917361014582
"ACER1",1.15850182063163,2.33120622268601,1.31096857985559,1.18646754370745,2.2999672866765,2.47430624265739,2.18471274575507,0.765214920190354,1.04826577157819,1.06896802125943,7.08932679789051,1.95385402007859
"ACER2",2.11100634119256,2.86897082964287,1.54967033025778,2.18475261433171,4.00362036585063,1.05395379640755,2.46839815027596,2.48111517176758,1.75787851045645,2.75240954626482,4.63294470583255,1.68565788258165
"ACER3",19.2749638288124,11.7965836430886,25.5321655437185,19.8810676334854,15.9784147340939,13.7652946523515,10.2206335789753,21.8416900676555,19.877868403311,24.7414054057695,9.38046286962839,15.8512514356211
"ACHE",0.104121231566153,0.12464600806254,0.261087931789422,0.214238750472636,1.61234820096909,0.0321215777970031,0.365743570915758,0.794724926658176,0.0282641048641225,0.492449480191385,0.126138003625662,0.0177884687863628
"ACIN1",77.723136854108,67.3546801525653,105.713374397727,96.1515381227401,119.804937176474,57.7369106183936,84.1162763799672,77.6019579402526,72.9649625679554,96.8984895951559,144.926069574085,77.5932539829697
"ACLY",179.026381429783,194.956520397209,163.480376933774,181.076055389987,157.348170881204,165.46368717699,179.835413302358,143.126274074744,180.924689516146,165.704329042962,130.918633963074,185.057887901729
"ACMSD",0.0780909236746144,0.10387167338545,0.0783263795368266,0.170130772434152,0.0681273887733419,0.0160607888985016,0.0342884597733524,0.0298021847496816,0,0.0642325408945285,0.170286304894643,0.106730812718177
"ACO1",9.30915751012625,7.84172701947391,7.5801605671063,8.16166319134229,6.79029426176081,7.0902334946591,7.4637557986432,7.43001798497998,8.94663857154829,7.11792625608015,6.36661162485249,9.41968998578433
"ACO2",29.8534593387267,22.8042538012809,26.2514163298153,25.2839984763662,26.7008493387963,26.5301389625469,25.5485543159761,25.7280303062578,25.7162484731591,27.6334568389018,21.7396670773317,27.5260455693878
"ACOT1",0.779945837450514,2.00793925206322,1.23653474427984,0.669938968926153,0.823104928418134,2.2767835308737,1.43612922618923,0.624113605659406,1.86677204107309,1.39688632528991,2.95652218249002,0.623261101196211
