cell,SUBJECT_ACCESSION,value
T cell,SUB133813,9062.099976
T follicular helper cell,SUB133813,936.3668693
Th1 CD4+ T cell,SUB133813,1516.082639
Th17 CD4+ T cell,SUB133813,635.2095955
CD4+ T cell,SUB133814,4469.237867
CD8+ T cell,SUB133814,3050.059986
cell,SUB133814,18034.56137
helper T cell,SUB133814,2795.351189
monocyte,SUB133814,1879.610016
myeloid dendritic cell,SUB133814,215.7852542
NK cell,SUB133814,1853.80412
non-Th1/Th17  CD4+ T cell,SUB133814,500.204418
plasmacytoid dendritic cell,SUB133814,68.36070126
T cell,SUB133814,5888.899963
T follicular helper cell,SUB133814,851.6094824
Th1 CD4+ T cell,SUB133814,1001.450409
Th17 CD4+ T cell,SUB133814,411.8619757
CD4+ T cell,SUB133815,2491.432607
CD8+ T cell,SUB133815,3115.133454
cell,SUB133815,11935.64276
helper T cell,SUB133815,1620.895333
monocyte,SUB133815,2841.409958
myeloid dendritic cell,SUB133815,143.1947146
NK cell,SUB133815,3255.251239
non-Th1/Th17  CD4+ T cell,SUB133815,299.9731229
plasmacytoid dendritic cell,SUB133815,157.5907826
T cell,SUB133815,4045.300049
T follicular helper cell,SUB133815,778.3150813
Th1 CD4+ T cell,SUB133815,280.9632723
Th17 CD4+ T cell,SUB133815,640.6152013
